soc_id,EA033,EA066,EA030,EA028,EA039,complexity_score
Cc17,4.0,3.0,1.0,6.0,3.0,2.42971375556286
Cc18,2.0,3.0,2.0,5.0,1.0,0.10688278207800254
Cc19,4.0,3.0,2.0,6.0,1.0,1.2769229746488813
Cc2,2.0,4.0,2.0,6.0,1.0,0.7136666734127366
Cc20,3.0,3.0,2.0,5.0,1.0,0.5484884259208699
Cc3,2.0,2.0,8.0,6.0,1.0,1.0488601593165938
Cc4,1.0,4.0,7.0,6.0,1.0,1.0846472452390674
Cc5,2.0,3.0,1.0,6.0,1.0,0.23119444382930687
Cc6,3.0,2.0,1.0,2.0,1.0,-0.7944705183179914
Cc7,2.0,3.0,1.0,2.0,1.0,-0.9161211757112686
Cc9,3.0,3.0,2.0,6.0,1.0,0.8353173308060139
Cd1,1.0,2.0,7.0,6.0,1.0,0.4447372723398869
Cd10,3.0,2.0,3.0,6.0,3.0,1.9931876115380815
Cd11,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Cd13,4.0,2.0,3.0,5.0,3.0,2.1479643504958053
Cd15,3.0,2.0,7.0,6.0,3.0,2.64325658407344
Cd16,5.0,5.0,7.0,6.0,3.0,4.486332831107945
Cd17,2.0,2.0,2.0,5.0,3.0,1.1022358196762307
Cd18,2.0,3.0,2.0,5.0,3.0,1.4221908061258208
Cd19,4.0,5.0,7.0,5.0,1.0,2.4425902583321157
Cd2,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Cd21,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Cd3,2.0,2.0,7.0,5.0,3.0,1.9148220353454286
Cd4,4.0,1.0,7.0,5.0,3.0,2.4780783365815733
Cd5,2.0,1.0,6.0,6.0,3.0,1.7191787106471428
Cd6,5.0,5.0,7.0,6.0,3.0,4.486332831107945
Cd7,3.0,2.0,3.0,5.0,3.0,1.7063587066529375
Ce1,3.0,1.0,5.0,5.0,3.0,1.7114382064710265
Ce3,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Ce5,4.0,5.0,8.0,5.0,3.0,3.9204155255137736
Ce6,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Ce7,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Ce8,4.0,5.0,8.0,5.0,3.0,3.9204155255137736
Cf1,4.0,5.0,8.0,5.0,3.0,3.9204155255137736
Cf2,3.0,3.0,5.0,5.0,3.0,2.351348179370207
Cf3,1.0,1.0,7.0,5.0,3.0,1.153261405052971
Cf4,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Cf5,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Cg1,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Cg2,3.0,3.0,7.0,2.0,1.0,0.5005879269346363
Cg3,3.0,5.0,5.0,5.0,3.0,2.9912581522693875
Cg4,1.0,2.0,1.0,1.0,1.0,-1.9645107108888697
Cg5,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Ch1,4.0,5.0,8.0,5.0,3.0,3.9204155255137736
Ch11,5.0,5.0,7.0,6.0,3.0,4.486332831107945
Ch3,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Ch4,2.0,3.0,6.0,5.0,3.0,2.0722597786611794
Ch5,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Ch6,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Ch7,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Ch8,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Ch9,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Ci1,4.0,4.0,2.0,2.0,1.0,0.44956234155789576
Ci10,4.0,2.0,7.0,5.0,3.0,2.7980333230311634
Ci11,3.0,4.0,3.0,6.0,3.0,2.633097584437262
Ci12,2.0,5.0,5.0,5.0,3.0,2.54965250842652
Ci2,1.0,1.0,7.0,5.0,3.0,1.153261405052971
Ci4,2.0,4.0,6.0,5.0,3.0,2.3922147651107695
Ci5,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Ci6,2.0,4.0,7.0,5.0,3.0,2.554732008244609
Ci8,3.0,4.0,7.0,6.0,3.0,3.2831665569726205
Cj1,3.0,3.0,7.0,6.0,3.0,2.96321157052303
Cj2,2.0,2.0,1.0,1.0,1.0,-1.5229050670460025
Cj3,3.0,4.0,7.0,5.0,3.0,2.9963376520874765
Cj4,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Cj6,3.0,5.0,7.0,5.0,3.0,3.3162926385370666
Cj7,4.0,5.0,7.0,5.0,3.0,3.757898282379934
Cj8,2.0,1.0,7.0,5.0,3.0,1.5948670488958383
Cj9,4.0,4.0,7.0,6.0,3.0,3.7247722008154875
Ea1,4.0,3.0,7.0,6.0,3.0,3.4048172143658975
Ea10,3.0,4.0,2.0,5.0,3.0,2.1837514364182784
Ea11,4.0,5.0,7.0,6.0,3.0,4.044727187265078
Ea12,3.0,4.0,1.0,2.0,1.0,-0.15456054541881104
Ea13,5.0,4.0,8.0,5.0,3.0,4.0420661829070506
Ea2,3.0,5.0,7.0,6.0,3.0,3.6031215434222106
Ea3,2.0,2.0,3.0,6.0,3.0,1.551581967695214
Ea4,2.0,3.0,3.0,6.0,3.0,1.8715369541448044
Ea5,2.0,2.0,7.0,6.0,3.0,2.2016509402305724
Ea6,2.0,2.0,1.0,2.0,1.0,-1.2360761621608587
Ea8,3.0,4.0,1.0,6.0,1.0,0.9927550741217644
Ea9,5.0,3.0,7.0,6.0,3.0,3.846422858208765
Eb1,4.0,4.0,2.0,2.0,1.0,0.44956234155789576
Eb2,2.0,4.0,6.0,5.0,3.0,2.3922147651107695
Eb3,4.0,4.0,2.0,2.0,3.0,1.764870365605714
Eb5,4.0,4.0,7.0,6.0,3.0,3.7247722008154875
Eb7,3.0,4.0,3.0,2.0,3.0,1.4857819648966863
Ec1,1.0,1.0,2.0,1.0,1.0,-2.1219484542046203
Ec10,1.0,2.0,2.0,1.0,1.0,-1.8019934677550302
Ec11,1.0,2.0,2.0,1.0,1.0,-1.8019934677550302
Ec2,3.0,2.0,2.0,2.0,1.0,-0.6319532751841518
Ec3,1.0,2.0,1.0,1.0,1.0,-1.9645107108888697
Ec4,1.0,2.0,1.0,1.0,1.0,-1.9645107108888697
Ec5,1.0,2.0,3.0,1.0,1.0,-1.6394762246211905
Ec6,1.0,1.0,2.0,1.0,1.0,-2.1219484542046203
Ec7,2.0,1.0,3.0,3.0,1.0,-0.9441677574576259
Ec8,1.0,1.0,2.0,1.0,1.0,-2.1219484542046203
Ec9,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ed1,3.0,5.0,7.0,6.0,3.0,3.6031215434222106
Ed10,5.0,5.0,7.0,5.0,3.0,4.1995039262228016
Ed15b,5.0,5.0,7.0,6.0,1.0,3.1710248070601272
Ed2,1.0,4.0,7.0,5.0,3.0,2.1131263644017415
Ed4,2.0,1.0,6.0,6.0,1.0,0.40387068659932446
Ed5,5.0,5.0,8.0,6.0,3.0,4.648850074241785
Ed6,5.0,5.0,7.0,6.0,3.0,4.486332831107945
Ed7,3.0,4.0,7.0,5.0,3.0,2.9963376520874765
Ed8,2.0,2.0,7.0,6.0,3.0,2.2016509402305724
Ed9,3.0,2.0,7.0,5.0,3.0,2.356427679188296
Ee1,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Ee2,2.0,5.0,7.0,6.0,3.0,3.161515899579343
Ee3,2.0,2.0,5.0,5.0,3.0,1.5897875490777493
Ee4,5.0,5.0,7.0,6.0,3.0,4.486332831107945
Ee5,3.0,4.0,3.0,5.0,3.0,2.346268679552118
