var_id,completeness_pct,id,category,title,definition,type,units,source,changes,notes
EA075,63.516653756777686,EA075,"Property, Wealth Transactions, Economy",Inheritance distribution for real property (land),"Following the inheritance rule for real property (land), this variable indicates how real property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,,Murdock (1962-1971); Gray (1999),,
EA064,62.74206041828041,EA064,"Labour, Economy",Age or occupational specialization: animal husbandry,Age or occupational specialization in animal husbandry.,Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA053,62.74206041828041,EA053,"Labour, Gender, Economy",Sex differences: animal husbandry,Specialization by sex in animal husbandry.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA034,60.03098373353989,EA034,Ritual,Religion: high gods,"The range of beliefs in high gods. A high god is defined, following Swanson, as a spiritual being who is believed to have created all reality and/or to be its ultimate governor, even if his sole act was to create other spirits who, in turn, created or control the natural world.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA038,58.32687838884585,EA038,"Ritual, Gender, Marriage",Segregation of adolescent boys,Degree and mode of segregating boys at or approaching puberty.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA059,54.376452362509674,EA059,"Labour, Economy",Age or occupational specialization: boat building,"Age or occupational specialization in the construction of true water craft; not including the making of simple floats, rafts, or the like.",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA048,54.376452362509674,EA048,"Labour, Gender, Economy",Sex differences: boat building,"Specialization by sex in the construction of true water craft; not including the making of simple floats, rafts, or the like.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA050,51.2006196746708,EA050,"Labour, Gender, Economy",Sex differences: gathering,Specialization by sex in the gathering of wild plants and small land fauna.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA061,51.2006196746708,EA061,"Labour, Economy",Age or occupational specialization: gathering,Age or occupational specialization in the gathering of wild plants and small land fauna.,Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA112,50.96824167312162,EA112,Ritual,Trance states,"Presence/absence of culturally patterned forms of altered states of consciousness. Codes distinguish between two types of altered states: PossessionTrance, considered to be a manifestation of spirit possession, and a Trance state that is not explained by possession.",Categorical,,Bourguignon (1973); Gray (1999),,
EA057,49.18667699457785,EA057,"Labour, Economy",Age or occupational specialization: leather working,"Age or occupational specialization in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA046,49.18667699457785,EA046,"Labour, Gender, Economy",Sex differences: leather working,"Specialization by sex in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA031,47.327652982184354,EA031,"Community organization, Population, Settlement",Mean size of local communities,"The average population of local communities, whatever the pattern of settlement, computed from census data or other evidence.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA078,46.32068164213787,EA078,"Ritual, Gender, Marriage",Norms of premarital sexual behavior of girls,Prevailing standards of sex behavior for unmarried women.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA060,44.61657629744384,EA060,"Labour, Economy",Age or occupational specialization: house construction,Age or occupational specialization in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,Categorical,,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,
EA049,44.61657629744384,EA049,"Labour, Gender, Economy",Sex differences: house construction,Specialization by sex in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA035,37.64523625096824,EA035,Games,Games,"Types of games practiced. Following Roberts, only games with an outcome, i.e., a winner and a loser, are treated.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA036,28.814872192099152,EA036,"Ritual, Gender, Marriage",Post-partum sex taboos,"The normal duration of post-partum sex taboos, i.e., those requiring a lactating mother to refrain from sexual intercourse.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA084,27.343144848954303,EA084,"Community organization, Housing",House construction (secondary house type): ground plan,Ground plan of secondary or alternative house type.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA085,27.188226181254837,EA085,"Community organization, Housing",House construction (secondary house type): floor level,Floor level of secondary or alternative house type.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA088,26.8009295120062,EA088,"Community organization, Housing, Ecology",House construction (secondary house type): roofing materials,Roofing materials of secondary or alternative house type.,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""Stone/slate"" (1) from ""Tile/brick"" (11)",
EA090,25.948876839659174,EA090,"Politics, Leadership, Economy",Political integration ,Political integration of the society with neighbouring communities and/or a larger state; this is the version that appeared in Murdock (1957)'s World Ethnographic Sample (WES). ,Categorical,,Murdock (1957); Gray (1999),,
EA087,25.71649883810999,EA087,"Community organization, Housing",House construction (secondary house type): shape of roof,Shape of roof of secondary or alternative house type.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA086,25.329202168861354,EA086,"Community organization, Housing, Ecology",House construction (secondary house type): wall material,Wall material of secondary or alternative house type.,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""missing data"" (0) from ""open walls"" (10) from ""walls indistinguishable from, or merging into roof"" (11)",
EA094,22.773044151820297,EA094,"Politics, Leadership",Political succession: version from Murdock (1957),Rule of succession; for cross-cultural comparibility this is the prevailing rule of succession for the headman of a local community or a near equivalent thereto; this is the version that appeared in Murdock (1957)'s World Ethnographic Sample (WES). ,Categorical,,Murdock (1957); Gray (1999),,
EA113,2.478698683191327,EA113,"Ritual, Politics",Societal rigidity,"Degree of rigidity in social structures. Considers stratification of society, whether status distinctions are earned or ascribed, degree of hierarchy of political system, extent to which residence and group membership are fixed, centralization of authority, flexibility of religious rites.",Categorical,,Greenbaum (1973); Gray (1999),,
